center_lc1,center_lc2,center_lc3,center_lc4
0.04023029035933927,0.04023029035933927,0.0402712384586756,0.0402712384586756
0.03609703775574125,0.03609703775574125,0.04013007878303781,0.04013007878303781
0.03189511054034671,0.03189511054034671,0.04020413873201959,0.04020413873201959
0.028073810158024206,0.028073810158024206,0.040218281165049774,0.040218281165049774
0.024176273012769013,0.024176273012769013,0.039946993665738104,0.039946993665738104
2.9636012741593105,3.0114982473780882,2.9636012741593105,3.0114982473780882
3.499196823908426,3.004592067484465,3.499196823908426,3.004592067484465
3.5311346836486983,3.014745203909818,3.5311346836486983,3.014745203909818
3.069695639036837,2.9798828406484046,3.069695639036837,2.9798828406484046
2.158330018763234,3.012786132000855,2.158330018763234,3.012786132000855
